city name,cloudiness,country,date,max_temp,humidity,lat,lng,wind_speed
Mataura,12,NZ,1644254715,43.48,99,-46.1927,168.8643,1.45
Kamennogorsk,100,RU,1644254716,32.81,97,60.9545,29.1339,6.49
Pevek,23,RU,1644254716,-27.02,98,69.7008,170.3133,2.24
Birin,96,NP,1644254717,44.24,78,26.8865,88.0718,0.74
Lompoc,0,US,1644254467,75.13,50,34.6391,-120.4579,3.44
Morwell,46,AU,1644254717,59.92,95,-38.2333,146.4,5.97
Hobart,11,AU,1644254717,60.26,79,-42.8794,147.3294,6.91
Mossamedes,37,AO,1644254718,75.18,71,-15.1961,12.1522,15.88
Portland,75,US,1644254518,45.21,93,45.5234,-122.6762,8.01
Castro,15,BR,1644254718,79.21,49,-24.7911,-50.0119,7.78
Dinguiraye,5,GN,1644254718,94.42,6,11.3,-10.7167,3.27
Bengkulu,73,ID,1644254719,75.79,87,-3.8004,102.2655,5.88
Punta Arenas,100,CL,1644254546,60.82,90,-53.15,-70.9167,5.75
Provideniya,2,RU,1644254719,-14.82,81,64.3833,-173.3,11.59
Kapaa,21,US,1644254594,70.2,73,22.0752,-159.319,1.01
Belyy Yar,23,RU,1644254720,-9.51,73,53.6039,91.3903,4.47
Qaqortoq,100,GL,1644254720,10.9,63,60.7167,-46.0333,42.88
Ponta Delgada,20,PT,1644254721,59.72,77,37.7333,-25.6667,11.5
Nikolskoye,100,RU,1644254721,34.88,98,59.7035,30.7861,6.46
Bluff,15,NZ,1644254605,43.81,87,-46.6,168.3333,5.91
Kloulklubed,86,PW,1644254721,81.1,79,7.0419,134.2556,22.39
Ixtapa,40,MX,1644254560,74.43,69,20.7,-105.2,0.0
Yangi Marg`ilon,100,UZ,1644254722,36.32,87,40.4272,71.7189,2.3
Arraial do Cabo,75,BR,1644254722,85.86,62,-22.9661,-42.0278,6.91
Coyhaique,0,CL,1644254723,77.61,31,-45.5752,-72.0662,11.5
Avarua,40,CK,1644254723,78.85,83,-21.2078,-159.775,13.8
Akdepe,18,TM,1644254723,35.6,56,42.0551,59.3788,8.9
Departamento de Maldonado,83,UY,1644254724,70.99,63,-34.6667,-54.9167,15.75
Carutapera,88,BR,1644254724,83.12,75,-1.195,-46.02,7.23
Isangel,100,VU,1644254724,79.68,85,-19.55,169.2667,26.69
Hilo,20,US,1644254638,67.24,88,19.7297,-155.09,5.99
Puerto Ayora,12,EC,1644254725,80.56,86,-0.7393,-90.3518,5.99
Vostok,100,RU,1644254725,-4.38,99,46.4856,135.8833,4.05
Busselton,92,AU,1644254599,59.04,78,-33.65,115.3333,5.39
Port Keats,89,AU,1644254726,80.69,83,-14.25,129.55,6.02
Saint-Philippe,100,RE,1644254726,78.39,88,-21.3585,55.7679,12.5
Santa Isabel Rio Negro,85,BR,1644254726,81.88,88,-0.4139,-65.0192,5.21
Darłowo,10,PL,1644254727,41.95,79,54.421,16.4107,24.61
Balabac,45,PH,1644254727,80.01,77,7.9868,117.0645,14.47
Praia da Vitória,20,PT,1644254728,64.65,68,38.7333,-27.0667,10.4
Tiksi,89,RU,1644254728,-24.47,99,71.6872,128.8694,7.85
Srandakan,100,ID,1644254728,76.8,85,-7.9386,110.2506,3.8
Carnarvon,0,AU,1644254729,73.47,64,-24.8667,113.6333,18.41
Gorin,88,RU,1644254729,-16.92,100,51.1983,136.6669,2.64
Chapais,100,CA,1644254729,10.18,87,49.7834,-74.8492,6.17
Barra do Garças,40,BR,1644254730,88.38,58,-15.89,-52.2567,4.47
Hermanus,46,ZA,1644254730,74.89,86,-34.4187,19.2345,4.83
Bubaque,39,GW,1644254731,78.51,64,11.2833,-15.8333,14.03
Cururupu,62,BR,1644254731,83.95,73,-1.8283,-44.8683,4.97
Jamestown,0,US,1644254731,38.52,55,42.097,-79.2353,12.66
Tuktoyaktuk,40,CA,1644254603,-34.6,67,69.4541,-133.0374,12.66
Port Alfred,0,ZA,1644254732,76.14,84,-33.5906,26.891,12.73
Magadan,48,RU,1644254732,-5.48,61,59.5667,150.8,10.71
Hambantota,100,LK,1644254732,77.97,77,6.1241,81.1185,3.51
Okha,100,RU,1644254733,10.54,93,53.5739,142.9478,18.05
Katsuura,52,JP,1644254733,41.18,52,35.1333,140.3,4.32
Marzuq,11,YE,1644254733,66.67,54,14.4,46.4667,2.71
Hobyo,76,SO,1644254734,77.4,72,5.3505,48.5268,19.86
Rikitea,11,PF,1644254541,78.4,75,-23.1203,-134.9692,12.97
Erdemli,51,TR,1644254734,51.42,65,36.605,34.3084,1.68
Ponta do Sol,8,PT,1644254735,65.12,61,32.6667,-17.1,10.0
Tasiilaq,100,GL,1644254616,26.76,54,65.6145,-37.6368,51.38
Kachug,100,RU,1644254735,7.79,97,53.9606,105.8817,2.77
Quatre Cocos,56,MU,1644254735,78.91,82,-20.2078,57.7625,9.35
Hasaki,95,JP,1644254736,34.29,49,35.7333,140.8333,6.49
Yellowknife,100,CA,1644254736,-2.58,90,62.456,-114.3525,13.8
Asău,100,RO,1644254737,45.39,72,46.4333,26.4,5.99
Thompson,100,CA,1644254604,8.76,85,55.7435,-97.8558,10.36
Pāli,0,IN,1644254737,66.94,50,25.7667,73.3333,4.94
Cape Town,0,ZA,1644254737,76.1,68,-33.9258,18.4232,16.11
Port Elizabeth,0,ZA,1644254738,72.1,78,-33.918,25.5701,5.75
Alice Springs,14,AU,1644254520,67.55,77,-23.7,133.8833,0.0
Little Current,100,CA,1644254738,32.41,91,45.9793,-81.9248,5.93
Ushuaia,0,AR,1644254706,69.46,49,-54.8,-68.3,8.05
New Norfolk,5,AU,1644254739,59.92,65,-42.7826,147.0587,1.41
Tigil',73,RU,1644254739,3.0,89,57.8,158.6667,4.07
Bariloche,0,AR,1644254740,82.24,19,-41.1456,-71.3082,12.66
Paamiut,100,GL,1644254710,6.08,89,61.994,-49.6678,28.39
Torbay,75,CA,1644254694,21.27,69,47.6666,-52.7314,10.36
Nanton,81,CA,1644254740,52.81,25,50.3501,-113.7687,33.04
Bambous Virieux,75,MU,1644254741,79.05,83,-20.3428,57.7575,5.75
Albany,100,US,1644254459,39.61,75,42.6001,-73.9662,5.75
Pangody,83,RU,1644254741,-8.07,97,65.85,74.4859,10.8
Pitsunda,77,GE,1644254741,37.58,57,43.1592,40.3378,13.18
Paramonga,55,PE,1644254742,75.54,67,-10.6667,-77.8333,10.38
Geraldton,0,AU,1644254665,64.81,63,-28.7667,114.6,13.8
Graham,100,US,1644254457,48.36,91,47.0529,-122.2943,7.0
Bredasdorp,78,ZA,1644254545,74.28,69,-34.5322,20.0403,8.39
Mar del Plata,75,AR,1644254742,68.02,71,-38.0023,-57.5575,18.41
George Town,20,MY,1644254743,78.89,93,5.4112,100.3354,0.0
Bograd,27,RU,1644254743,-11.45,96,54.2344,90.8328,4.41
